"n_distributor_id","name","vdt","vno","items"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106397,"28490_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106398,"22250_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106399,"28492_,8554_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106400,"35416_,2539_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106401,"37604_,4127_,21690_,32641_,4324_,43030_,21412_,28338_,26673_,21078_,2480_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106402,"43020_,42131_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106403,"41536_,2367_,3352_,28777_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106404,"36551_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106405,"18740_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106406,"16973_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106407,"34746_,12769_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106408,"37434_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106409,"13477_,13478_,6251_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106410,"20358_,32079_,18728_,26187_,31227_,10665_,33209_,2628_,22250_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106411,"15196_,2625_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106412,"36656_,5237_,3436_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106413,"24689_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106414,"8614_,28393_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106415,"16767_,36206_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106416,"8676_,17330_,14882_,14762_,40880_,28393_,12264_,32063_,17905_,18781_,14300_,8050_,11583_,20504_,28396_,29742_,14331_,14298_,34750_,3352_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106417,"13019_,41414_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106418,"28393_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106419,"31980_,31979_,33815_,39267_,496_,19958_,28392_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106420,"16069_,30472_,30398_,41596_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106421,"32820_,11035_,17342_,28372_,30632_,5121_,26187_,14333_,17534_,34857_,31505_,14352_,14280_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106422,"36619_,34392_,11798_,3466_,2690_,2425_,3908_,11158_,39231_,3703_,11147_,28390_,74_,2658_,28396_,39346_,35955_,37800_,34504_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106423,"2996_,33121_,21074_,921_,40883_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106424,"11596_,5421_,29419_,39730_,37808_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106425,"758_,41670_,22393_,6731_,35425_,26175_,11031_,31727_,39732_,32428_,1989_,74_,5416_,12490_,9588_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106426,"34515_,20114_,41177_,15210_,4719_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106427,"40585_,28046_,11297_,42026_,35926_,24261_,43050_,35928_,42850_,3693_,26189_,9180_,3694_,23096_,37527_,2619_,2622_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106428,"13549_,16857_,38771_,41153_,15103_,10107_,40666_,3687_,32057_,37968_,37691_,39283_,4861_,28371_,39980_,32063_,34683_,19958_,40595_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106429,"41226_,39408_,9439_,9437_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106430,"38596_,13485_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106431,"11556_,11589_,43031_,4773_,8606_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106432,"40474_,9439_,5121_,43174_,26184_,25942_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106433,"1993_,30395_,32079_,4130_,14446_,4861_,10668_"
